Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.01,25.96744331691996,53.13325289566007,2.25000268554316
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.02,14.427577407747872,53.13325289566007,1.4299295283346922
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.03,8.496174619518063,53.13325289566007,0.9335266180465869
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.035,6.654130560464588,53.13325289566007,0.7616058468759492
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.04,5.277064418490124,53.13325289566007,0.6251924591703716
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.05,3.43278449954001,53.13325289566007,0.42876552389362654
"Brain aging, alternative",40,10,20,0.1,0.6,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,339.0145463758188,984.1730595589657,0.06,2.3204045452390627,53.13325289566007,0.3005382329134258
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.01,16.132365088825114,53.13325289566007,2.25000268554316
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.02,8.905579372900535,53.13325289566007,1.4299295283346922
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.03,5.206490190104779,53.13325289566007,0.9335266180465869
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.035,4.062189212826375,53.13325289566007,0.7616058468759492
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.04,3.2090959972229354,53.13325289566007,0.6251924591703716
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.05,2.0714284494860724,53.13325289566007,0.42876552389362654
Brain aging,40,10,20,0.1,0.35,0.0,6.554780584411181,22.748547133965072,0.2681113521561566,0.26812770050815626,201.28990003338848,507.82275437100213,0.06,1.3895795263138468,53.13325289566007,0.3005382329134258
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.01,33.03877593571634,106.73031353014932,4.52206781840251
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.02,18.304172299829254,106.73031353014932,2.8735187402116757
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.03,10.742564178036943,106.73031353014932,1.8757194516698112
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.035,8.39786911460052,106.73031353014932,1.5301758327623467
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.04,6.64701970346892,106.73031353014932,1.2560132468798553
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.05,4.306411777827781,106.73031353014932,0.8612680139659663
"Brain aging, 100%",40,10,20,0.2,0.7,0.0,13.166237292269253,45.72545755066531,0.5379943118492151,0.5380270089129662,426.5371393346847,1093.8744456392055,0.06,2.898692300512105,106.73031353014932,0.6036091894851534
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.01,19.517225358736304,107.50493501922931,8.800142312662256
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.02,8.617213820280766,107.50493501922931,5.166387335730232
Reproductive aging,40,10,20,0.01,0.02,0.5,1.1848368435660075,40.584377981193946,0.02673193995166228,0.39136761007886456,-6.9483302426494475,-60.69997796957614,0.03,3.8878925965289524,107.50493501922931,3.110782037635648
